"Название журнала","Специализация","Дата включения в реестр"
"Государственная служба","08.00.00 – экономические науки;12.00.00 – юридические науки;22.00.00 – социологические науки.",2015-12-01
"Государственное и муниципальное управление. Ученые записки СКАГС","08.00.00 – экономические науки;23.00.00 – политология;22.00.00 – социологические науки.",2015-12-01
"Государство, религия, церковь в России и за рубежом","09.00.00 –философские науки;
22.00.00 – социологические науки;
07.00.00 – исторические науки и археология",2015-12-01
"Гуманитарий Юга России","22.00.00 – социологические науки;
09.00.00 – философские науки;
08.00.00 – экономические науки.",2015-12-01
"Датчики и системы / Sensors & Systems","05.11.00 – приборостроение, метрология и информационно- измерительные приборы и системы;
05.12.00 – радиотехника и связь;
05.13.00 – информатика, вычислительная техника и управление;
05.14.00 – энергетика;
05.27.00 – электроника.",2015-12-01
"Двойные технологии","05.07.00 – авиационная и ракетно- космическая техника;
05.12.00 – радиотехника и связь;
05.13.00 – информатика, вычислительная техника и управление;
05.22.00 – транспорт.",2015-12-01
"Дизайн. Материалы. Технология","05.13.00 – информатика, вычислительная техника и управление;
05.19.00 – технология материалов и изделий текстильной и легкой промышленности;
17.00.00 – искусствоведение.",2015-12-01
"Динамика сложных систем  - XXI век","01.04.00 – физика;
05.02.00 – машиностроение и машиноведение;
05.12.00 – радиотехника и связь;
05.13.00 – информатика, вычислительная техника и управление;
05.27.00 – электроника.",2015-12-01
"Дискуссия","08.00.00 – экономические науки;
13.00.00 – педагогические науки;
22.00.00 – социологические науки.",2015-12-01
"Доклады Томского государственного университета систем управления и радиоэлектроники","01.04.00 – физика;
05.09.00 – электротехника;
05.11.00 – приборостроение, метрология и информационно- измерительные приборы и системы;
05.12.00 – радиотехника и связь;
05.13.00 – информатика, вычислительная техника и управление.",2015-12-01
"Естественные и технические науки","03.02.00 – общая биология;
05.02.00 – машиностроение и машиноведение;
05.11.00 – приборостроение, метрология и информационно- измерительные приборы и системы;
05.13.00 – информатика, вычислительная техника и управление;
25.00.00 – науки о Земле.",2015-12-01
"Женщина в российском обществе","23.00.00 – политология;
07.00.00 – исторические науки и археология;
22.00.00 – социологические науки.",2015-12-01
"Журнал научных статей Здоровье и образование в ХХI веке","22.00.00 – социологические науки;
14.01.00 –клиническая медицина;
14.02.00 – профилактическая медицина; 14.03.00 – медико- биологические науки;
14.04.00  – фармацевтические науки",2015-12-01
"Журнал правовых и экономических исследований. Journal of Legal and Economic Studies","08.00.00 – экономические науки;12.00.00 – юридические науки;22.00.00 – социологические науки.",2015-12-01
"Журнал Сибирского федерального университета. Техника и технологии. Journal of Siberian Federal University. Engineering and Technologies","05.12.00 – радиотехника и связь;
05.13.00 – информатика, вычислительная техника и управление;
05.14.00 – энергетика;
05.16.00 – металлургия и материаловедение;
25.00.00 – науки о Земле.",2015-12-01
"Журнал социологии и социальной антропологии","07.00.00 – исторические науки и археология;
24.00.00 – культурология;
22.00.00 – социологические науки.",2015-12-01
"Журналист. Социальные коммуникации","22.00.00 – социологические науки;
23.00.00 – политология;
10.01.00 – литературоведение",2015-12-01
"Известия Волгоградского государственного технического университета","05.02.00 – машиностроение и машиноведение;
05.13.00 – информатика, вычислительная техника и управление;
05.16.00 – металлургия и материаловедение;
02.00.00 – химические науки;
08.00.00 – экономические науки.",2015-12-01
"Известия высших учебных заведений. Нефть и газ","05.02.00 – машиностроение и машиноведение
05.13.00 – информатика, вычислительная техника и управление;
05.16.00 – металлургия и материаловедение;
02.00.00 – химические науки;
25.00.00 – науки о Земле.",2015-12-01
"Известия высших учебных заведений. Поволжский регион. Общественные науки","08.00.00 – экономические науки;12.00.00 – юридические науки;22.00.00 – социологические науки.",2015-12-01
"Известия высших учебных заведений. Поволжский регион. Технические науки","05.02.00 – машиностроение и машиноведение;
05.11.00 – приборостроение, метрология и информационно- измерительные приборы и системы;
05.12.00 – радиотехника и связь
05.13.00 – информатика, вычислительная техника и управление
05.16.00 – металлургия и материаловедение",2015-12-01
"Известия высших учебных заведений. Приборостроение","01.04.00 – физика;
05.09.00 – электротехника;
05.11.00 – приборостроение, метрология и информационно- измерительные приборы и системы;
05.13.00 – информатика, вычислительная техника и управление;
05.27.00 – электроника.",2015-12-01
"Известия высших учебных заведений. Проблемы полиграфии и издательского дела","05.02.00 – машиностроение и машиноведение;
05.13.00 – информатика, вычислительная техника и управление;
05.25.00 – документальная информация;
08.00.00 – экономические науки
10.02.00 – языкознание.",2015-12-01
"Известия высших учебных заведений. Северо-Кавказский регион. Технические науки","05.02.00 – машиностроение и машиноведение;
05.13.00 – информатика, вычислительная техника и управление;
05.14.00 – энергетика;
05.17.00 – химическая технология;
05.23.00 – строительство и архитектура.",2015-12-01
"Известия высших учебных заведений. Социология. Экономика. Политика","22.00.00 – социологические науки.",2015-12-01
"Известия высших учебных заведений. Технология легкой промышленности","17.00.00 – искусствоведение;
05.13.00 – информатика, вычислительная техника и управление;
05.19.00 – технология материалов и изделий легкой промышленности.",2015-12-01
"Известия высших учебных заведений. Электромеханика","05.09.00 – электротехника;
05.11.00 – приборостроение, метрология и информационно- измерительные приборы и системы;
05.13.00 – информатика, вычислительная техника и управление;
05.14.00 – энергетика;
05.22.00 – транспорт.",2015-12-01
"Известия высших учебных заведений. Электроника","01.04.00 – физика;
05.11.00 – приборостроение, метрология и информационно- измерительные приборы и системы;
05.12.00 – радиотехника и связь;
05.13.00 – информатика, вычислительная техника и управление;
05.27.00 – электроника.",2015-12-01
"Известия высших учебных заведений. Ядерная энергетика","01.04.00 – физика;
05.11.00 – приборостроение, метрология и информационно- измерительные приборы и системы;
05.13.00 – информатика, вычислительная техника и управление;
05.14.00 – энергетика.",2015-12-01
"Известия Института инженерной физики","05.11.00 – приборостроение, метрология и информационно- измерительные приборы и системы;
05.12.00 – радиотехника и связь;
05.13.00 – информатика, вычислительная техника и управление.",2015-12-01
"Известия Байкальского государственного университета
(До 18.10.2016 г. наименование в Перечне Известия Иркутской государственной экономической академии)","08.00.00 – экономические науки,
12.00.00 – юридические науки;
05.13.00 – информатика, вычислительная техника и управление.",2015-12-01
"Известия Кабардино-Балкарского научного центра РАН","05.02.00 – машиностроение и машиноведение;
05.11.00 – приборостроение, метрология и информационно- измерительные приборы и системы
05.13.00 – информатика, вычисли- тельная техника и управление;
08.00.00 – экономические науки;
25.00.00 – науки о Земле.",2015-12-01
"Известия Российской Академии Ракетных и Артиллерийских Наук","01.02.00 – механика;
05.02.00 – машиностроение и машиноведение;
05.07.00 – авиационная и ракетно- космическая техника;
05.13.00 – информатика, вычислительная техника и управление;
20.00.00 – военные науки.",2015-12-01
"Известия Самарского научного центра Российской академии наук","03.02.00 – общая биология
05.02.00 – машиностроение и машиноведение;
05.07.00 – авиационная и ракетно- космическая техника;
05.13.00 – информатика, вычислительная техника и управление;
07.00.00 – исторические науки и археология.",2015-12-01
"Известия Санкт-Петербургского государственного технологического института (технического университета)","02.00.00 – химические науки;
03.01.00 – физико-химическая биология;
05.13.00 – информатика, вычислительная техника и управление;
05.16.00 – металлургия и материаловедение;
05.17.00 – химическая технология.",2015-12-01
"Известия Санкт-Петербургского государственного экономического университета","08.00.00 – экономические науки;
10.01.00 – литературоведение;
10.02.00 – языкознание;
22.00.00 – социологические науки.",2015-12-01
"Известия Саратовского университета. Новая серия. Серия Социология.
Политология","22.00.00 – социологические науки;23.00.00 – политология",2015-12-01
